,ID,Module ID,Code
CA 62. MJP naar thema's Opex/Capex,102000001351,102000001351,
CA 99. Samenvatting,102000001269,102000001269,
⠀⠀⠀       ◼️ Inflation Modules,102000001261,102000001261,
DA 04. Parameters FSP,102000000023,102000000023,
'DA 04. Parameters FSP'.'V11. Export Parameters naar BWM',336000000001,102000000023,
'DA 04. Parameters FSP'.'Export view - Parameters FSP',336000000002,102000000023,
DA 03. Inflatie,102000001063,102000001063,
└DA 03a. Inflatie (cumulatief),102000000120,102000000120,
└DA 03b. Inflatie ( Merge),102000000852,102000000852,
CA XX. Inflatie Staging UMD,102000001371,102000001371,
CA 40. BAK Inflatie + Meerjarig,102000001195,102000001195,
CA 41. Netverder Inflatie,102000001199,102000001199,
└CA 41a. Netverder Inflatie - Naar rekeningcategori,102000001200,102000001200,
CA 44. Inflatie Staging,102000001204,102000001204,
CA 45. Doorbelasting inflatie staging,102000001209,102000001209,
CA 46 Cost + Inflatie,102000001210,102000001210,
CA 47. Toeslag Inflation Staging,102000001213,102000001213,
⠀⠀⠀       ◼️ Reporting Modules,102000000908,102000000908,
RP 01. IC output,102000000932,102000000932,
RP 03. DB / TS Overview,102000001001,102000001001,
RP 06. samenvatting MJP,102000001047,102000001047,
'RP 06. samenvatting MJP'.'RP 06. samenvatting MJP - Export MJP',2785000000000,102000001047,
└ RP 06a. samenvatting COEA,102000001112,102000001112,
└ RP 06b. Variantie Analyse,102000001180,102000001180,
└ RP 06c.TOTEX Analyse,102000001193,102000001193,
RP 07. formatie ontwikkeling,102000001048,102000001048,
'RP 07. formatie ontwikkeling'.'RP 07. formatie ontwikkeling - Export MJP',2787000000000,102000001048,
'RP 07. formatie ontwikkeling'.'RP 07. formatie ontwikkeling - Export MJP afdeling',2787000000001,102000001048,
'RP 07. formatie ontwikkeling'.'RP 07. formatie ontwikkeling - ontwikkeling BU',2787000000002,102000001048,
└ RP 07a. Variantie Analyse,102000001192,102000001192,
RP 08. Formatie MJP,102000000887,102000000887,
'RP 08. Formatie MJP'.'V01. Export tabellen alle afdelingen',2375000000000,102000000887,
'RP 08. Formatie MJP'.'FS 05. Formatie MJP - Export Tabel',2375000000001,102000000887,
'RP 08. Formatie MJP'.'FS 05. Formatie MJP - Export Int_ext',2375000000002,102000000887,
└ RP 08a. Variantie Analyse,102000001191,102000001191,
RP 09. Afdelingskosten,102000000793,102000000793,
'RP 09. Afdelingskosten'.'FS 08. Afdelingskosten - Export MJP',2150000000000,102000000793,
'RP 09. Afdelingskosten'.'FS 08. Afdelingskosten - Export MJP Afd',2150000000001,102000000793,
